time	m_length	m_force	sc_extension	sc_force	hs_1_pCa	hs_1_length	hs_1_command_length	hs_1_slack_length	hs_1_a_length	hs_1_m_length	hs_1_force	hs_1_titin_force	hs_1_viscous_force	hs_1_extracellular_force	hs_1_inter_hs_titin_force_effect	hs_1_a_pop_1	hs_1_a_pop_2	hs_1_m_pop_1	hs_1_m_pop_2	hs_1_m_pop_3	hs_1_m_pop_4	hs_1_c_pop_1	hs_1_c_pop_2	hs_1_c_pop_3
3.0148	1105.000	63203.5	0.632035	63203.5	4.5	1104.37	1100	-nan(ind)	1017.69	809.876	63203.5	2.21446e-11	0.16853	0	0	0.0185185	0.981481	0.087963	0.607253	0.119599	0.185185	1	0	0
3.0149	1105.000	63038	0.63038	63038	4.5	1104.37	1100	-nan(ind)	1017.68	809.874	63038	2.21453e-11	0.165507	0	0	0.0138889	0.986111	0.0925926	0.601852	0.121142	0.184414	1	0	0
3.015	1105.000	62689.9	0.626899	62689.9	4.5	1104.37	1100	-nan(ind)	1017.68	809.865	62689.9	2.2147e-11	0.34814	0	0	0.00925926	0.990741	0.0910494	0.604167	0.121142	0.183642	1	0	0
3.0151	1105.000	62746.6	0.627466	62746.6	4.5	1104.37	1100	-nan(ind)	1017.68	809.864	62746.6	2.2147e-11	-0.0566813	0	0	0.0115741	0.988426	0.0864198	0.608025	0.121142	0.184414	1	0	0
3.0152	1105.000	62761.9	0.627619	62761.9	4.5	1104.37	1100	-nan(ind)	1017.68	809.865	62761.9	2.21469e-11	-0.0153455	0	0	0.0115741	0.988426	0.0910494	0.604938	0.119599	0.184414	1	0	0
3.0153	1105.000	62545.7	0.625457	62545.7	4.5	1104.37	1100	-nan(ind)	1017.66	809.871	62545.7	2.21465e-11	0.216179	0	0	0.0138889	0.986111	0.087963	0.609568	0.12037	0.182099	1	0	0
3.0154	1105.000	62953.7	0.629537	62953.7	4.5	1104.37	1100	-nan(ind)	1017.68	809.873	62953.7	2.21455e-11	-0.407998	0	0	0.0138889	0.986111	0.0864198	0.611111	0.121142	0.181327	1	0	0
3.0155	1105.000	62701.2	0.627012	62701.2	4.5	1104.37	1100	-nan(ind)	1017.67	809.875	62701.2	2.21457e-11	0.252563	0	0	0.0208333	0.979167	0.0848765	0.613426	0.121142	0.180556	1	0	0
3.0156	1105.000	62863.8	0.628638	62863.8	4.5	1104.37	1100	-nan(ind)	1017.68	809.872	62863.8	2.21458e-11	-0.16265	0	0	0.0138889	0.986111	0.0864198	0.61034	0.122685	0.180556	1	0	0
3.0157	1105.000	62972.4	0.629724	62972.4	4.5	1104.37	1100	-nan(ind)	1017.67	809.88	62972.4	2.21446e-11	-0.108574	0	0	0.0185185	0.981481	0.0910494	0.603395	0.124228	0.181327	1	0	0
3.0158	1105.000	62779.8	0.627798	62779.8	4.5	1104.37	1100	-nan(ind)	1017.67	809.877	62784.3	2.21454e-11	0.192527	0	0	0.0162037	0.983796	0.0895062	0.602623	0.127315	0.180556	1	0	0
3.0159	1105.000	62672.3	0.626723	62672.3	4.5	1104.37	1100	-nan(ind)	1017.67	809.874	62672.3	2.21459e-11	0.107557	0	0	0.025463	0.974537	0.0895062	0.598765	0.132716	0.179012	1	0	0
3.016	1105.000	62919.5	0.629195	62919.5	4.5	1104.37	1100	-nan(ind)	1017.66	809.888	62919.5	2.21437e-11	-0.247178	0	0	0.0138889	0.986111	0.087963	0.596451	0.134259	0.181327	1	0	0
3.0161	1105.000	63028	0.63028	63028	4.5	1104.37	1100	-nan(ind)	1017.66	809.891	63028	2.21431e-11	-0.108512	0	0	0.0300926	0.969907	0.0848765	0.600309	0.133488	0.181327	1	0	0
3.0162	1105.000	63610	0.6361	63610	4.5	1104.36	1100	-nan(ind)	1017.69	809.893	63610	2.21417e-11	-0.582006	0	0	0.0277778	0.972222	0.087963	0.599537	0.130401	0.182099	1	0	0
3.0163	1105.000	63384.2	0.633842	63384.2	4.5	1104.37	1100	-nan(ind)	1017.68	809.886	63384.2	2.21431e-11	0.22575	0	0	0.0324074	0.967593	0.0833333	0.601852	0.133488	0.181327	1	0	0
